"idx","full_path","rel_path","top_dir","parent_rel","file_name","stem","ext","size","mtime_utc","sha256","reason_flags","keep_score"
"45","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.955","J11B直管\0740.A.600深灰\J11BS.0740.A.600.955","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.955","J11BS.0740.A.600",".955","9045","2019-01-16T05:39:02.0000000Z","20DABE3EA8BAD8F13E3766BE0EFC562A9D9928850B50151544433CF99FC6BC75","","40"
"46","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.957","J11B直管\0740.A.600深灰\J11BS.0740.A.600.957","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.957","J11BS.0740.A.600",".957","9045","2019-01-16T05:39:12.0000000Z","619350A0551AA2A3FCA35803441D1D2DDD7350A81E0FFA5C3048097D28A0CD1E","","40"
"47","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.959","J11B直管\0740.A.600深灰\J11BS.0740.A.600.959","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.959","J11BS.0740.A.600",".959","9045","2019-01-16T05:39:24.0000000Z","B2D99749CAF0E82B5C86698C323CA0C6C98095BCA6BAB1BE12682B444BE1A7BB","","40"
"48","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.965","J11B直管\0740.A.600深灰\J11BS.0740.A.600.965","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.965","J11BS.0740.A.600",".965","9045","2019-01-16T06:10:30.0000000Z","B605E9FAA3FB957C0657025E1CA8892111ED8FE9BBEC0CBFC325BA308F42E553","","40"
"49","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5314\J11B.5314.B.030.917","J11B直管\5314\J11B.5314.B.030.917","J11B直管","J11B直管\5314","J11B.5314.B.030.917","J11B.5314.B.030",".917","9045","2022-04-07T11:08:54.0000000Z","3FC2ED98B3A69358233D46FE80787CA6933C23EB8BEE289703E43650D13BEF99","","31"
"50","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5314\J11B.5314.B.030.918  3","J11B直管\5314\J11B.5314.B.030.918  3","J11B直管","J11B直管\5314","J11B.5314.B.030.918  3","J11B.5314.B.030",".918  3","9045","2022-04-15T05:30:40.0000000Z","A7DFDA5DE07FD035E7BAA51AC5F26503F442371FBD5523354AFDB67A13C0FD32","","34"
"51","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5314\J11B.5314.B.030.919","J11B直管\5314\J11B.5314.B.030.919","J11B直管","J11B直管\5314","J11B.5314.B.030.919","J11B.5314.B.030",".919","9045","2022-04-07T11:11:20.0000000Z","073AC57AA050BF0A34EDAF93095A8A1889725792FB9E094D7BED97E6E499C5B3","","31"
"52","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5314\J11B.5314.B.030.927","J11B直管\5314\J11B.5314.B.030.927","J11B直管","J11B直管\5314","J11B.5314.B.030.927","J11B.5314.B.030",".927","9045","2022-04-07T11:11:02.0000000Z","387EF59BF10C5432482EF53A82209C5E8AF34BE36880CDE1F324D073159C9F17","","31"
"53","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5314\J11B.5314.B.030.963","J11B直管\5314\J11B.5314.B.030.963","J11B直管","J11B直管\5314","J11B.5314.B.030.963","J11B.5314.B.030",".963","9045","2022-04-07T11:12:06.0000000Z","7EB71BD19438B60B8FB5AE6ABE742A02B7D89F425A0E2CA893600A3EA44B0112","","31"
"54","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5314\J11B.5314.B.030.980","J11B直管\5314\J11B.5314.B.030.980","J11B直管","J11B直管\5314","J11B.5314.B.030.980","J11B.5314.B.030",".980","9045","2022-04-07T11:12:22.0000000Z","E65F04D22204574E11829D531E05191244874A34CC6D3FA37F714BB3584BA031","","31"
"55","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5314\J11B.5314.B.325.976","J11B直管\5314\J11B.5314.B.325.976","J11B直管","J11B直管\5314","J11B.5314.B.325.976","J11B.5314.B.325",".976","9045","2022-04-07T11:11:50.0000000Z","3144C98248A83911F3BF28E4760EB97B7432CE09F92B8F97FD79FDE288D4A4FD","","31"
