"sha256","dup_count","action","keep_path","keep_rel_path","file_path","rel_path","top_dir","file_name","size","keep_score","reason_flags"
"9F9CF9B5FC302A7806BC3EEA5AA00BF4895C6CAEE35E59DED151A0E63C183B9E","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.937","VJMsg\30 11.5314.K.815.937","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\37","VJMsg\30 11\30 11.5314\815\37","VJMsg","37","9045","279","numeric_name|short_name"
"3FD2E0BC4E3997F324FDB39C62CE8C35DE9A367492185D77613F0291A0C4932D","2","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.939","VJMsg\30 11.5314.K.815.939","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.939","VJMsg\30 11.5314.K.815.939","VJMsg","30 11.5314.K.815.939","9045","26",""
"3FD2E0BC4E3997F324FDB39C62CE8C35DE9A367492185D77613F0291A0C4932D","2","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.939","VJMsg\30 11.5314.K.815.939","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.939","VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.939","VJMsg","30 11.5314.K.815.939","9045","47",""
"D19D4E3A9B504C9C6EA0ED1C5932F5AC763C5F1A0F220AFFED0873E1353D2AC4","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.942","VJMsg\30 11.5314.K.815.942","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.942","VJMsg\30 11.5314.K.815.942","VJMsg","30 11.5314.K.815.942","9045","26",""
"D19D4E3A9B504C9C6EA0ED1C5932F5AC763C5F1A0F220AFFED0873E1353D2AC4","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.942","VJMsg\30 11.5314.K.815.942","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\LV\30 11.5314.K.815.942","VJMsg\30 11\30 11.5314\815\LV\30 11.5314.K.815.942","VJMsg","30 11.5314.K.815.942","9045","50",""
"D19D4E3A9B504C9C6EA0ED1C5932F5AC763C5F1A0F220AFFED0873E1353D2AC4","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.942","VJMsg\30 11.5314.K.815.942","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\942","VJMsg\30 11\30 11.5314\815\942","VJMsg","942","9045","280","numeric_name|short_name"
"2E07864742CDB898F0F763F07B5BF0B97DA431CD4B674CC42EA6F1EE1C102309","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.945","VJMsg\30 11.5314.K.815.945","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.945","VJMsg\30 11.5314.K.815.945","VJMsg","30 11.5314.K.815.945","9045","26",""
"2E07864742CDB898F0F763F07B5BF0B97DA431CD4B674CC42EA6F1EE1C102309","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.945","VJMsg\30 11.5314.K.815.945","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\LV\30 11.5314.K.815.945","VJMsg\30 11\30 11.5314\815\LV\30 11.5314.K.815.945","VJMsg","30 11.5314.K.815.945","9045","50",""
"2E07864742CDB898F0F763F07B5BF0B97DA431CD4B674CC42EA6F1EE1C102309","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.945","VJMsg\30 11.5314.K.815.945","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\945","VJMsg\30 11\30 11.5314\815\945","VJMsg","945","9045","280","numeric_name|short_name"
"862CDE874EDFA5A5425D748EE532902A6634F8BCAF95623297B058BCF6B3FD46","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.946","VJMsg\30 11.5314.K.815.946","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.946","VJMsg\30 11.5314.K.815.946","VJMsg","30 11.5314.K.815.946","9045","26",""
